bookID,title,authors,average_rating,isbn,isbn13,category
35350,What the Body Remembers,Shauna Singh Baldwin,3.89,0385496052,9.78039E+12,Fiction
41335,Magnificat (Galactic Milieu Trilogy  #3),Julian May,4.21,0345362497,9.78035E+12,Fiction
28184,Blue Shoes and Happiness (No. 1 Ladies' Detective Agency #7),Alexander McCall Smith,4.06,1400075718,9.7814E+12,Fiction
26012,Glamorama,Bret Easton Ellis/Pierre Guglielmina,3.46,2264031913,9.78226E+12,Literary Criticism
30755,The Stories (So Far),Deborah Eisenberg,4,0374524920,9.78037E+12,Fiction
9298,Last Chance Saloon,Marian Keyes,3.81,0060086246,9.78006E+12,Fiction
13336,Olympian Odes. Pythian Odes,Pindar/William H. Race,4.09,0674995643,9.78067E+12,Athletics
45465,Artemis Fowl (Artemis Fowl  #1),Eoin Colfer/Nathaniel Parker,3.84,1400085918,9.7814E+12,Juvenile Fiction
29324,The Catswold Portal,Shirley Rousseau Murphy,4.06,0060765402,9.78006E+12,Fiction
8861,Death of an Addict (Hamish Macbeth  #15),M.C. Beaton,3.8,0446608289,9.78045E+12,
38412,Fermat's Enigma: The Epic Quest to Solve the World's Greatest Mathematical Problem,Simon Singh,4.25,0385493622,9.78039E+12,Mathematics
2411,Melville and the politics of identity: From *King Lear* to *Moby-Dick*,Julian Markels,3.33,0252063023,9.78025E+12,Literary Criticism
1110,The Broker,John Grisham,3.78,0385340540,9.78039E+12,Fiction
6976,The Mermaid Chair,Sue Monk Kidd,3.13,0143036696,9.78014E+12,Fiction
24379,His Dark Materials: New Edition,Nicholas Wright/Philip Pullman,4.02,1854598317,9.78185E+12,
26919,Continental Drift,Russell Banks,3.87,0060854944,9.78006E+12,Fiction
18297,The Anime Encyclopedia: A Guide to Japanese Animation Since 1917,Jonathan Clements/Helen McCarthy,4.04,1933330104,9.78193E+12,Performing Arts
3975,Worlds Enough & Time: Five Tales of Speculative Fiction,Dan Simmons,3.75,0060506040,9.78006E+12,Literary Criticism
